Kl;Mandag 07.04 PRØVER;Tirsdag 08.04 METRO;Onsdag 09.04 KLASSISK ONSDAG;Torsdag 10.04. COUNTRY/ GOSPEL;Fredag 11.04 NEDRIGG
0810-0940;ANDAKT! DIVERSE PRØVER OG ØVELSER DIV PRØVER;ANDAKT! REGI/TRÅKKEPRØVE METRO;RIGGING OG LINJESJEKK Route 66 (DRA2) RIGGING OG PRØVER Molto Maestoso(KAMMERS);LYDPRØVER GOSPEL TRUTH;NEDRIGG
0950-1120;DIV PRØVER;GENERALPRØVE METRO GENERALPRØVE METRO;LYDPRØVER Route 66 (DRA2) RIGGING OG PRØVER Blowing in the wind (AULA);LYDPRØVER og TRÅKKE/GENERALPRØVE GOSPEL TRUTH;NEDRIGG
MIDTTIME;DIV PRØVER;GENERALPRØVE METRO GENERALPRØVE METRO;TRÅKKEPRØVE / GENERALPRØVE Route 66 (DRA2);;NEDRIGG
1200;;GENERALPRØVE METRO/PAUSE;ANDAKT;ANDAKT;NEDRIGG
1230;LYDPRØVER LYDPRØVEPLAN METRO;;Molto Maestoso 1 (Kammers) - FOR SKOLEELEVER - inkl. musikk;ROUTE 66 (DRA2) FOR SKOLEELEVER inkl. musikk;NEDRIGG
1400;LYDPRØVER OG REGI METRO LYDPRØVEPLAN METRO;METRO 1 (Vandring) - FOR SKOLEELEVER;Blowing in the Wind 1 (Aula) - FOR SKOLEELEVER inkl. musikk;GOSPEL TRUTH (Kammersalen) FOR SKOLEELEVER;NEDRIGG
1530-1800;MULIG EKSTRAØVELSER - HOLD AV TIDEN;;;;NEDRIGG
Kl 1800;;METRO 2 (Vandring) - FOR FORELDRE OG EKSTERNE;Molto Maestoso 2 (Kammers) - FOR FORELDRE OG EKSTERNE;ROUTE 66 (DRA2) - FOR FORELDRE OG EKSTERNE;
Ca. 19.00;;;;RIGGING GOSPEL TRUTH (Kammers) (foregår under korpskonsert);
kl 1930;NEDRIGG METRO Ralfs Maia Haldor Mathias Robin Martin Emil;Blowing in the wind 2 (Aula) - FOR FORELDRE OG EKSTERNE;;GOSPEL TRUTH (Kammers) - FOR FORELDRE OG EKSTERNE;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
